id,cid,catid1,catid2,catid3,tag,blabel,publicview,imgvh,title1,title2,title3,title4,title5,title6,creator1,creator2,creator3,creator4,creator5,creator6,creator7,creator8,creator9,creator10,creator11,creator12,creator13,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,description1,description2,description3,description4,description5,description6,publisher1,publisher2,contributor1,date1,date2,type1,type2,format1,format2,identifier1,identifier2,identifier3,source1,language1,language2,language3,relation1,coverage1,pdffile,pdfsize
55,0,0,0,0,0012_000660_000205,"""Take A Little Tip From Father""",Y,650,Take a Little Tip from Father,,,,,,,,,,,,,,"Berlin, Irving",Snyder,,,,,,,,,,,,,,,,,,,"New York : Waterson, Berlin & Snyder Co.",,,1912,,Text,,1 score (6 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 7",English,,,,,0012_000660_000205.pdf,4104762
56,0,0,0,0,0012_000660_000204,"""I've Got My Captain Working for Me Now""",Y,650,I've Got My Captain Working for Me Now,,,,,,,,"Berlin, Irving",,,,,,,,,,,,,,,,,,,,,,,,,,New York : Irving Berlin Inc.,,,1919,,Text,,1 score (4 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 6",English,,,,,0012_000660_000204.pdf,3402514
57,0,0,0,0,0012_000660_000203,"""I Left My Door Open and My Daddy Walked Out""",Y,650,I Left My Door Open and My Daddy Walked Out,,,,,,,,"Berlin, Irving",,,,,,,,,,,,,,,,,,,,,,,,,,New York : Irving Berlin Inc.,,,1919,,Text,,1 score (4 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 5",English,,,,,0012_000660_000203.pdf,3078980
58,0,0,0,0,0012_000660_000202,"""Whispering Hearts (Waltz)""",Y,650,Whispering Hearts (Waltz),,,,,,,,"Aronson, Samuel",,,,,,,,,,,,,,,,,,,,,,,,,,New York : Jerome H. Remick & Co.,,,1916,,Text,,1 score (6 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 4",English,,,,,0012_000660_000202.pdf,4641719
59,0,0,0,0,0012_000660_000222,"""I Love You Truly""",Y,650,I Love You Truly,,,,,,,,"Jacobs-Bond, Carrie",,,"Jacobs-Bond, Carrie",,,,,,,,,,,,,,,,,,,,,,,"Hollywood, CA : Carrie Jacobs-Bond & Son",,,1906,,Text,,1 score (8 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 36",English,,,,,0012_000660_000222.pdf,5749891
60,0,0,0,0,0012_000660_000223,"""That's How I Need You""",Y,650,That's How I Need You,,,,,,"Carus, Emma",,"Piantadosi, Al.",,,"Goodwin, Joe ","McCarthy, Joe",,,,,,,,,,,,,,,,,,,,,,"New York : Leo Feist, Inc.",,,1912,,Text,,1 score (6 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 37",English,,,,,0012_000660_000223.pdf,4450406
61,0,0,0,0,0012_000660_000225,"""That Wonderful Mother of Mine""",Y,650,That Wonderful Mother of Mine,,,,,,,,"Goodwin, Walter",,,"Hager, Clyde",,,,,,,,,,,,,,,,,,,,,,,New York : M. Witmark & Sons,,,1918,,Text,,1 score (4 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 42",English,,,,,0012_000660_000225.pdf,3238930
62,0,0,0,0,0012_000660_000226,"""Long Boy (Good-Bye"", Ma!, Good-Bye,"" Pa!)""",Y,650,"Long Boy (Good-Bye, Ma!, Good-Bye, Pa!)",,,,,,,,"Walker, Barclay",,,"Herschell, William",,,,,,,,,,,,,,,,,,,,,,,"New York : Shapiro, Bernstein & Co. Inc.",,,1917,,Text,,1 score (4 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 43",English,,,,,0012_000660_000226.pdf,3435083
63,0,0,0,0,0012_000660_000227,"""Lucinda's Rag Time Ball""",Y,650,Lucinda's Rag Time Ball,,,,,,,,"Johnson, Chas. L.",,,,,,,,,,,,,,,,,,,,,,,,,,Chicago : Forster Music Publisher,,,1913,,Text,,1 score (6 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 46",English,,,,,0012_000660_000227.pdf,4274214
64,0,0,0,0,0012_000660_000228,"""The Navy Took Them Over and the Navy Will Bring Them Back""",Y,650,The Navy Took Them Over and the Navy Will Bring Them Back,,,,,,,,"Schuster, Ira",,,"Johnson, Yeoman Howard",,,,,,,,,,,,,,,,,,,,,,,"New York : Leo Feist, Inc.",,,1918,,Text,,1 score (4 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 47",English,,,,,0012_000660_000228.pdf,2920545
